UF;ANO;VALOR
AC;2015;4.245.948.557,36
AC;2016;3.827.877.107,27
AC;2017;3.670.558.893,30
AC;2018;4.016.002.413,08
AC;2019;3.876.222.951,81
AC;2020;4.361.230.262,88
AC;2021;4.223.954.055,20
AC;2022;3.762.743.200,57
AL;2015;11.252.027.857,87
AL;2016;9.298.370.356,42
AL;2017;9.296.155.966,40
AL;2018;9.690.608.978,42
AL;2019;9.889.789.341,11
AL;2020;10.670.353.438,69
AL;2021;10.585.199.066,96
AL;2022;12.103.607.206,94
AM;2015;7.547.647.068,52
AM;2016;6.824.257.282,26
AM;2017;6.749.876.935,67
AM;2018;6.939.570.960,45
AM;2019;7.247.014.742,99
AM;2020;7.894.467.308,93
AM;2021;8.788.696.539,09
AM;2022;8.985.329.384,68
AP;2015;2.671.177.076,68
AP;2016;2.815.578.068,48
AP;2017;2.762.486.685,81
AP;2018;3.740.684.256,40
AP;2019;3.879.507.289,55
AP;2020;3.892.720.850,89
AP;2021;5.236.166.499,82
AP;2022;5.602.031.756,76
BA;2015;21.381.306.825,23
BA;2016;20.561.659.029,56
BA;2017;22.680.017.517,09
BA;2018;24.957.669.057,99
BA;2019;25.835.365.717,47
BA;2020;28.616.023.649,63
BA;2021;29.326.652.702,37
BA;2022;28.529.828.408,00
CE;2015;11.231.836.279,05
CE;2016;10.524.533.868,25
CE;2017;12.287.333.195,87
CE;2018;13.865.126.013,10
CE;2019;14.906.375.117,99
CE;2020;17.783.339.122,52
CE;2021;19.499.153.228,94
CE;2022;18.332.938.981,27
DF;2015;5.930.582.624,70
DF;2016;7.281.762.956,01
DF;2017;7.843.059.801,13
DF;2018;12.768.424.511,06
DF;2019;9.335.889.462,29
DF;2020;10.801.863.202,96
DF;2021;10.279.801.898,94
DF;2022;11.379.504.291,52
ES;2015;7.034.527.965,75
ES;2016;6.809.779.959,80
ES;2017;6.752.253.297,30
ES;2018;6.797.682.725,25
ES;2019;7.048.953.859,43
ES;2020;7.409.822.041,25
ES;2021;7.395.558.794,33
ES;2022;7.293.625.994,28
GO;2015;18.606.708.514,44
GO;2016;19.647.667.836,27
GO;2017;19.638.685.137,73
GO;2018;19.677.217.828,65
GO;2019;20.670.271.654,43
GO;2020;22.665.700.875,08
GO;2021;23.030.006.668,61
GO;2022;24.564.332.568,63
MA;2015;7.320.280.501,41
MA;2016;7.053.020.396,64
MA;2017;7.197.768.744,13
MA;2018;7.706.425.833,41
MA;2019;8.862.104.941,79
MA;2020;9.748.134.061,47
MA;2021;9.501.707.710,05
MA;2022;9.002.720.614,88
MG;2015;108.413.018.504,73
MG;2016;113.946.520.414,25
MG;2017;109.923.322.274,32
MG;2018;117.413.129.539,27
MG;2019;130.685.428.331,00
MG;2020;140.881.088.370,68
MG;2021;154.422.622.436,95
MG;2022;159.541.835.459,52
MS;2015;8.801.324.237,52
MS;2016;9.358.448.736,30
MS;2017;8.798.343.085,31
MS;2018;9.151.264.304,62
MS;2019;9.026.509.619,53
MS;2020;9.352.844.933,21
MS;2021;9.075.177.001,68
MS;2022;9.030.847.466,97
MT;2015;7.661.341.670,90
MT;2016;7.196.766.101,68
MT;2017;6.763.929.945,50
MT;2018;6.984.288.717,75
MT;2019;6.459.847.521,39
MT;2020;6.726.752.889,43
MT;2021;6.581.977.271,11
MT;2022;5.131.004.543,12
PA;2015;3.854.580.837,17
PA;2016;3.452.453.701,65
PA;2017;3.546.090.353,67
PA;2018;4.342.771.869,71
PA;2019;4.323.249.295,82
PA;2020;5.370.760.350,79
PA;2021;5.311.093.589,77
PA;2022;5.522.061.530,71
PB;2015;5.092.813.788,50
PB;2016;5.040.385.566,69
PB;2017;4.370.383.055,66
PB;2018;4.601.638.001,54
PB;2019;4.495.739.700,59
PB;2020;4.747.291.158,91
PB;2021;5.154.102.928,18
PB;2022;5.319.107.864,73
