Data;25380 - Índice de Atividade Econômica Regional - Minas Gerais - IBCR-MG - com ajuste sazonal - Índice;28309 - Índice de emprego formal - Minas Gerais - Índice
01/2003;101,36 ;-
02/2003;102,11 ;-
03/2003;100,89 ;-
04/2003;99,43 ;-
05/2003;98,73 ;-
06/2003;97,96 ;-
07/2003;96,34 ;-
08/2003;99,16 ;-
09/2003;100,35 ;-
10/2003;100,26 ;-
11/2003;101,37 ;-
12/2003;103,74 ;-
01/2004;102,35 ;94,36
02/2004;103,08 ;95,08
03/2004;103,73 ;95,59
04/2004;104,76 ;96,71
05/2004;104,18 ;99,00
06/2004;104,28 ;101,39
07/2004;103,93 ;102,72
08/2004;105,75 ;103,51
09/2004;105,61 ;103,56
10/2004;106,05 ;103,29
11/2004;106,51 ;103,09
12/2004;107,15 ;101,69
01/2005;107,62 ;102,28
02/2005;107,41 ;102,92
03/2005;108,74 ;103,69
04/2005;109,57 ;105,07
05/2005;107,73 ;106,87
06/2005;108,03 ;109,42
07/2005;107,87 ;110,41
08/2005;107,92 ;110,46
09/2005;108,21 ;110,44
10/2005;108,83 ;110,38
11/2005;108,57 ;110,20
12/2005;108,91 ;108,91
01/2006;110,41 ;109,42
02/2006;110,98 ;110,63
03/2006;110,49 ;111,23
04/2006;111,38 ;112,58
05/2006;112,88 ;114,71
06/2006;113,65 ;117,01
07/2006;114,83 ;118,21
08/2006;113,64 ;118,68
09/2006;113,89 ;118,35
10/2006;114,37 ;117,89
11/2006;115,68 ;117,67
12/2006;116,93 ;116,11
01/2007;117,35 ;116,48
02/2007;117,36 ;117,28
03/2007;117,65 ;118,35
04/2007;118,60 ;120,04
05/2007;119,25 ;122,30
06/2007;119,19 ;124,23
07/2007;119,66 ;124,34
08/2007;120,65 ;123,75
09/2007;120,69 ;123,87
10/2007;121,73 ;124,50
11/2007;123,98 ;125,01
12/2007;123,70 ;123,88
01/2008;124,13 ;124,41
02/2008;123,72 ;125,63
03/2008;125,04 ;127,01
04/2008;125,01 ;128,54
05/2008;127,00 ;130,13
06/2008;127,91 ;133,21
07/2008;128,37 ;134,58
08/2008;127,38 ;135,43
09/2008;126,65 ;135,92
10/2008;125,04 ;134,83
11/2008;121,40 ;133,59
12/2008;116,02 ;129,97
01/2009;115,91 ;129,03
02/2009;119,14 ;129,09
03/2009;120,74 ;129,63
04/2009;120,73 ;130,37
05/2009;120,46 ;132,07
06/2009;122,08 ;134,02
07/2009;121,94 ;134,21
08/2009;123,63 ;134,58
09/2009;125,36 ;134,97
10/2009;126,23 ;135,73
11/2009;126,91 ;136,86
12/2009;127,87 ;134,86
01/2010;128,99 ;135,86
02/2010;131,07 ;137,10
03/2010;131,81 ;138,82
04/2010;132,75 ;140,79
05/2010;132,15 ;143,46
06/2010;131,85 ;145,19
07/2010;131,93 ;145,82
08/2010;132,56 ;147,10
09/2010;133,12 ;147,53
10/2010;133,10 ;148,20
11/2010;134,55 ;148,75
12/2010;135,56 ;146,70
01/2011;136,24 ;147,40
02/2011;138,50 ;149,07
03/2011;137,10 ;149,62
04/2011;135,79 ;151,20
05/2011;135,98 ;153,61
06/2011;135,41 ;155,53
07/2011;135,41 ;155,93
08/2011;135,98 ;156,02
09/2011;135,56 ;156,24
10/2011;136,11 ;156,62
11/2011;139,64 ;157,00
12/2011;137,61 ;154,99
01/2012;132,18 ;155,85
02/2012;137,18 ;156,76
03/2012;138,26 ;157,84
04/2012;139,69 ;159,19
05/2012;140,41 ;160,74
06/2012;145,64 ;162,42
07/2012;146,74 ;163,34
08/2012;141,88 ;163,55
09/2012;140,14 ;163,86
10/2012;142,03 ;163,22
11/2012;142,02 ;163,14
12/2012;141,66 ;160,83
01/2013;141,76 ;161,27
02/2013;138,93 ;161,79
03/2013;141,06 ;162,78
04/2013;141,77 ;163,90
05/2013;144,04 ;165,03
06/2013;144,13 ;166,27
07/2013;144,63 ;166,85
08/2013;144,09 ;166,75
09/2013;143,82 ;167,08
10/2013;144,14 ;166,89
11/2013;144,34 ;166,46
12/2013;141,36 ;164,17
01/2014;144,20 ;164,57
02/2014;144,58 ;165,58
03/2014;143,43 ;165,83
04/2014;141,79 ;166,51
05/2014;140,60 ;167,51
06/2014;137,50 ;168,27
07/2014;137,40 ;168,09
08/2014;142,25 ;167,80
09/2014;142,35 ;167,92
10/2014;141,86 ;167,62
11/2014;140,85 ;167,41
12/2014;140,42 ;164,77
01/2015;140,00 ;164,25
02/2015;138,32 ;164,43
03/2015;137,30 ;164,38
04/2015;136,41 ;164,16
05/2015;135,94 ;163,82
06/2015;135,01 ;164,26
07/2015;134,12 ;163,56
08/2015;136,38 ;162,64
09/2015;134,47 ;161,38
10/2015;135,50 ;160,42
11/2015;132,00 ;159,68
12/2015;132,53 ;157,06
01/2016;130,48 ;156,43
02/2016;131,39 ;156,35
03/2016;132,43 ;156,09
04/2016;132,44 ;156,28
05/2016;132,13 ;156,69
06/2016;132,27 ;156,91
07/2016;133,37 ;156,31
08/2016;131,84 ;155,82
09/2016;131,33 ;155,18
10/2016;128,34 ;154,97
11/2016;129,80 ;154,54
12/2016;129,23 ;152,44
01/2017;129,38 ;152,47
02/2017;132,70 ;152,87
03/2017;133,72 ;152,91
04/2017;132,85 ;153,55
05/2017;132,32 ;154,48
06/2017;132,83 ;155,14
07/2017;132,34 ;155,21
08/2017;131,37 ;154,89
09/2017;129,80 ;154,75
10/2017;130,89 ;154,96
11/2017;132,44 ;154,86
12/2017;133,25 ;153,36
01/2018;133,06 ;153,73
02/2018;131,75 ;154,11
03/2018;132,72 ;154,76
04/2018;134,39 ;155,74
05/2018;128,45 ;156,55
06/2018;134,72 ;157,07
07/2018;134,52 ;157,53
08/2018;133,07 ;157,72
09/2018;130,85 ;157,95
10/2018;132,56 ;158,12
11/2018;133,10 ;158,12
12/2018;133,95 ;156,57
01/2019;135,66 ;156,65
02/2019;133,81 ;157,74
03/2019;132,20 ;157,95
04/2019;131,01 ;158,84
05/2019;131,17 ;159,62
06/2019;130,68 ;160,12
07/2019;130,35 ;160,56
08/2019;132,14 ;160,81
09/2019;132,78 ;160,97
10/2019;134,41 ;161,45
11/2019;133,57 ;161,78
12/2019;132,48 ;160,40
01/2020;133,22 ;-
02/2020;133,24 ;-
03/2020;129,22 ;-
04/2020;117,63 ;-
05/2020;120,22 ;-
06/2020;124,02 ;-
07/2020;128,01 ;-
08/2020;131,54 ;-
09/2020;133,88 ;-
10/2020;135,90 ;-
11/2020;135,60 ;-
12/2020;137,57 ;-
01/2021;135,44 ;-
02/2021;135,12 ;-
03/2021;134,39 ;-
04/2021;135,03 ;-
05/2021;137,88 ;-
06/2021;136,58 ;-
07/2021;134,88 ;-
08/2021;138,29 ;-
09/2021;137,69 ;-
10/2021;135,95 ;-
11/2021;138,16 ;-
12/2021;141,61 ;-
01/2022;131,61 ;-
02/2022;137,33 ;-
03/2022;145,98 ;-
04/2022;145,21 ;-
05/2022;142,66 ;-
06/2022;140,10 ;-
07/2022;141,30 ;-
08/2022;140,97 ;-
09/2022;141,09 ;-
10/2022;142,82 ;-
11/2022;142,42 ;-
12/2022;140,45 ;-
01/2023;139,56 ;-
02/2023;144,76 ;-
03/2023;149,57 ;-
04/2023;150,10 ;-
05/2023;149,70 ;-
06/2023;149,88 ;-
07/2023;149,67 ;-
08/2023;145,52 ;-
09/2023;143,34 ;-
