Data;21962 - Produção Industrial (2012=100) – Geral – Nordeste - com ajuste sazonal - Índice;25389 - Índice de Atividade Econômica Regional - Nordeste - IBCR-NE - com ajuste sazonal - Índice;28294 - Índice de emprego formal - Nordeste - Índice
01/2002;82,1 ;-;-
02/2002;87,1 ;-;-
03/2002;86,6 ;-;-
04/2002;84,7 ;-;-
05/2002;81,9 ;-;-
06/2002;82,9 ;-;-
07/2002;88,3 ;-;-
08/2002;88,2 ;-;-
09/2002;84,9 ;-;-
10/2002;85,8 ;-;-
11/2002;88,2 ;-;-
12/2002;88,7 ;-;-
01/2003;103,8 ;101,25 ;-
02/2003;99,1 ;99,91 ;-
03/2003;94,2 ;99,10 ;-
04/2003;101,4 ;98,38 ;-
05/2003;98,8 ;99,10 ;-
06/2003;98,8 ;99,24 ;-
07/2003;99,8 ;97,18 ;-
08/2003;97,3 ;99,98 ;-
09/2003;103,4 ;101,68 ;-
10/2003;100,2 ;102,03 ;-
11/2003;90,4 ;99,96 ;-
12/2003;98,7 ;102,16 ;-
01/2004;98,3 ;100,45 ;97,13
02/2004;101,6 ;102,43 ;97,15
03/2004;104,2 ;104,06 ;96,63
04/2004;104,9 ;104,74 ;96,56
05/2004;107,1 ;104,89 ;97,57
06/2004;112,0 ;106,85 ;98,31
07/2004;106,5 ;105,66 ;99,33
08/2004;106,0 ;105,99 ;100,99
09/2004;109,9 ;106,77 ;103,42
10/2004;108,1 ;106,66 ;104,16
11/2004;109,4 ;106,88 ;104,74
12/2004;109,3 ;107,56 ;104,01
01/2005;109,6 ;107,43 ;104,30
02/2005;108,2 ;108,74 ;103,48
03/2005;108,6 ;108,89 ;103,10
04/2005;108,5 ;109,78 ;103,90
05/2005;107,6 ;109,49 ;104,88
06/2005;109,9 ;109,88 ;105,81
07/2005;109,0 ;110,41 ;106,60
08/2005;110,0 ;110,27 ;107,61
09/2005;108,0 ;109,68 ;110,42
10/2005;105,5 ;109,58 ;111,57
11/2005;109,2 ;110,44 ;112,20
12/2005;113,8 ;111,85 ;111,67
01/2006;112,2 ;112,25 ;111,43
02/2006;111,4 ;112,20 ;110,79
03/2006;112,1 ;112,77 ;110,47
04/2006;114,6 ;113,20 ;111,07
05/2006;113,9 ;113,56 ;112,07
06/2006;112,3 ;113,63 ;113,01
07/2006;112,7 ;114,62 ;114,07
08/2006;113,9 ;115,73 ;115,24
09/2006;113,0 ;115,92 ;117,78
10/2006;113,7 ;116,65 ;118,70
11/2006;114,2 ;116,84 ;119,25
12/2006;109,8 ;116,28 ;118,47
01/2007;117,4 ;117,71 ;118,04
02/2007;113,4 ;116,38 ;117,47
03/2007;112,6 ;115,98 ;117,23
04/2007;112,3 ;116,17 ;117,99
05/2007;116,6 ;118,15 ;119,00
06/2007;116,6 ;119,31 ;119,90
07/2007;117,5 ;119,86 ;120,79
08/2007;115,7 ;119,64 ;122,13
09/2007;113,0 ;120,38 ;124,94
10/2007;118,1 ;121,95 ;126,09
11/2007;118,2 ;122,04 ;126,73
12/2007;121,3 ;123,84 ;126,35
01/2008;122,2 ;122,98 ;126,36
02/2008;126,0 ;123,35 ;126,11
03/2008;117,7 ;122,66 ;125,69
04/2008;120,2 ;123,17 ;125,85
05/2008;117,7 ;124,50 ;126,53
06/2008;115,7 ;124,02 ;127,81
07/2008;117,4 ;124,74 ;129,12
08/2008;117,2 ;126,64 ;130,84
09/2008;119,7 ;126,02 ;133,96
10/2008;115,2 ;123,66 ;134,59
11/2008;113,6 ;123,60 ;134,94
12/2008;109,2 ;122,94 ;133,51
01/2009;108,7 ;122,19 ;133,14
02/2009;111,4 ;123,73 ;132,95
03/2009;108,4 ;123,46 ;132,06
04/2009;103,8 ;122,98 ;131,67
05/2009;103,0 ;123,22 ;132,24
06/2009;111,3 ;124,49 ;133,11
07/2009;107,9 ;124,26 ;134,44
08/2009;112,0 ;127,42 ;136,50
09/2009;114,6 ;127,48 ;139,65
10/2009;114,6 ;127,32 ;141,41
11/2009;118,9 ;128,34 ;143,22
12/2009;122,3 ;129,60 ;142,87
01/2010;120,8 ;130,76 ;143,85
02/2010;123,0 ;131,92 ;144,22
03/2010;123,7 ;133,42 ;144,23
04/2010;124,8 ;133,35 ;145,04
05/2010;123,5 ;132,74 ;146,62
06/2010;120,9 ;131,26 ;147,91
07/2010;123,7 ;132,77 ;149,30
08/2010;120,2 ;133,33 ;151,58
09/2010;119,9 ;133,73 ;154,93
10/2010;118,9 ;134,85 ;156,62
11/2010;116,6 ;135,01 ;157,91
12/2010;116,2 ;134,94 ;156,88
01/2011;112,2 ;134,72 ;157,27
02/2011;112,9 ;134,24 ;157,95
03/2011;118,8 ;136,30 ;157,33
04/2011;116,6 ;136,49 ;157,71
05/2011;117,0 ;136,60 ;158,59
06/2011;118,7 ;137,41 ;159,92
07/2011;114,6 ;137,38 ;160,94
08/2011;116,3 ;138,04 ;162,76
09/2011;117,0 ;138,78 ;165,54
10/2011;116,4 ;139,03 ;166,67
11/2011;112,8 ;138,02 ;167,47
12/2011;112,3 ;138,06 ;166,43
01/2012;117,5 ;137,50 ;166,98
02/2012;120,9 ;138,04 ;166,99
03/2012;115,3 ;137,70 ;166,38
04/2012;113,3 ;137,51 ;166,58
05/2012;117,7 ;138,85 ;167,15
06/2012;114,6 ;139,28 ;168,01
07/2012;113,1 ;138,77 ;168,81
08/2012;116,0 ;139,52 ;169,93
09/2012;115,4 ;139,81 ;172,22
10/2012;119,4 ;141,15 ;172,81
11/2012;122,0 ;142,42 ;173,50
12/2012;122,5 ;142,80 ;172,18
01/2013;125,0 ;143,80 ;171,73
02/2013;121,6 ;142,72 ;171,48
03/2013;118,4 ;141,85 ;170,93
04/2013;122,1 ;142,62 ;171,24
05/2013;122,6 ;143,46 ;171,56
06/2013;122,2 ;143,18 ;172,33
07/2013;124,5 ;144,00 ;172,77
08/2013;121,7 ;144,18 ;173,96
09/2013;118,0 ;143,89 ;176,43
10/2013;115,8 ;143,07 ;177,89
11/2013;121,9 ;145,39 ;178,97
12/2013;121,3 ;146,01 ;177,94
01/2014;122,5 ;147,09 ;177,88
02/2014;127,9 ;147,44 ;178,58
03/2014;123,9 ;147,50 ;177,98
04/2014;125,9 ;147,90 ;177,73
05/2014;120,7 ;147,12 ;177,78
06/2014;113,0 ;146,00 ;177,91
07/2014;121,0 ;147,71 ;178,22
08/2014;117,7 ;147,47 ;179,55
09/2014;122,9 ;147,82 ;181,64
10/2014;120,7 ;146,67 ;181,97
11/2014;121,6 ;147,31 ;182,34
12/2014;120,5 ;146,96 ;180,89
01/2015;117,9 ;146,53 ;180,16
02/2015;116,6 ;146,54 ;179,53
03/2015;123,9 ;147,22 ;179,13
04/2015;119,9 ;145,98 ;177,98
05/2015;116,6 ;144,02 ;176,97
06/2015;119,2 ;145,14 ;176,63
07/2015;120,3 ;144,93 ;176,03
08/2015;118,7 ;143,64 ;176,11
09/2015;117,0 ;142,36 ;176,91
10/2015;116,1 ;142,35 ;176,47
11/2015;113,9 ;141,13 ;176,09
12/2015;114,7 ;141,02 ;174,14
01/2016;114,9 ;140,19 ;173,26
02/2016;113,9 ;137,72 ;171,70
03/2016;118,0 ;137,02 ;170,44
04/2016;114,4 ;136,57 ;169,77
05/2016;117,1 ;136,93 ;169,24
06/2016;116,7 ;136,80 ;168,71
07/2016;111,4 ;135,40 ;168,30
08/2016;114,1 ;136,21 ;168,92
09/2016;114,7 ;136,81 ;169,81
10/2016;113,5 ;137,52 ;169,62
11/2016;111,1 ;136,37 ;169,25
12/2016;115,2 ;136,54 ;167,62
01/2017;113,4 ;137,11 ;166,65
02/2017;112,9 ;137,85 ;165,75
03/2017;114,6 ;138,83 ;164,92
04/2017;113,6 ;138,82 ;164,96
05/2017;119,5 ;138,48 ;165,06
06/2017;111,6 ;136,76 ;165,24
07/2017;114,9 ;137,41 ;165,50
08/2017;115,6 ;137,95 ;166,13
09/2017;113,6 ;138,08 ;167,01
10/2017;112,3 ;137,63 ;168,10
11/2017;115,1 ;138,86 ;168,23
12/2017;114,0 ;139,28 ;167,23
01/2018;115,0 ;140,10 ;167,17
02/2018;114,1 ;139,98 ;166,55
03/2018;113,9 ;140,03 ;166,28
04/2018;115,2 ;140,42 ;166,49
05/2018;108,4 ;135,40 ;166,85
06/2018;119,2 ;140,27 ;167,00
07/2018;118,0 ;140,42 ;167,26
08/2018;119,9 ;140,90 ;168,32
09/2018;115,4 ;140,58 ;170,13
10/2018;115,3 ;140,05 ;170,56
11/2018;112,8 ;140,98 ;170,79
12/2018;107,2 ;139,61 ;169,56
01/2019;108,8 ;139,81 ;168,79
02/2019;113,6 ;140,14 ;168,53
03/2019;104,9 ;139,41 ;167,94
04/2019;117,7 ;140,01 ;168,43
05/2019;116,0 ;140,64 ;168,56
06/2019;109,7 ;140,75 ;168,74
07/2019;108,1 ;139,78 ;168,89
08/2019;107,7 ;139,04 ;169,86
09/2019;110,6 ;139,78 ;171,43
10/2019;114,4 ;140,63 ;172,04
11/2019;112,2 ;141,85 ;172,57
12/2019;112,3 ;141,91 ;171,62
01/2020;116,4 ;143,48 ;-
02/2020;120,6 ;142,51 ;-
03/2020;104,5 ;133,96 ;-
04/2020;82,5 ;121,26 ;-
05/2020;90,5 ;123,26 ;-
06/2020;95,8 ;127,31 ;-
07/2020;108,6 ;130,96 ;-
08/2020;111,7 ;134,39 ;-
09/2020;114,9 ;136,99 ;-
10/2020;115,2 ;139,08 ;-
11/2020;116,6 ;141,36 ;-
12/2020;117,8 ;140,96 ;-
01/2021;111,4 ;139,05 ;-
02/2021;107,9 ;138,81 ;-
03/2021;101,8 ;136,56 ;-
04/2021;97,2 ;137,39 ;-
05/2021;93,8 ;135,18 ;-
06/2021;99,3 ;137,53 ;-
07/2021;100,1 ;137,52 ;-
08/2021;92,2 ;136,41 ;-
09/2021;97,9 ;139,00 ;-
10/2021;102,6 ;141,02 ;-
11/2021;105,0 ;142,93 ;-
12/2021;104,8 ;141,37 ;-
01/2022;100,5 ;141,23 ;-
02/2022;103,3 ;144,38 ;-
03/2022;105,7 ;149,15 ;-
