Data;21943 - Produção Industrial (2012=100) – Geral – Região sudeste – com ajuste sazonal - Índice;25395 - Índice de Atividade Econômica Regional - Região Sudeste - IBCR-SE - com ajuste sazonal - Índice;28312 - Índice de emprego formal - Sudeste - Índice
01/2002;76,6 ;-;-
02/2002;78,9 ;-;-
03/2002;78,8 ;-;-
04/2002;78,4 ;-;-
05/2002;78,6 ;-;-
06/2002;77,6 ;-;-
07/2002;78,4 ;-;-
08/2002;75,8 ;-;-
09/2002;77,1 ;-;-
10/2002;80,1 ;-;-
11/2002;78,3 ;-;-
12/2002;77,4 ;-;-
01/2003;90,5 ;100,07 ;-
02/2003;91,7 ;101,21 ;-
03/2003;90,5 ;100,26 ;-
04/2003;90,4 ;99,05 ;-
05/2003;88,8 ;97,88 ;-
06/2003;89,4 ;98,02 ;-
07/2003;87,5 ;98,26 ;-
08/2003;88,8 ;99,03 ;-
09/2003;91,8 ;99,46 ;-
10/2003;93,5 ;99,91 ;-
11/2003;94,5 ;100,52 ;-
12/2003;93,7 ;100,77 ;-
01/2004;95,2 ;101,60 ;95,36
02/2004;96,2 ;102,78 ;96,04
03/2004;97,0 ;103,01 ;96,62
04/2004;98,1 ;103,16 ;97,65
05/2004;98,1 ;103,14 ;99,22
06/2004;99,2 ;104,43 ;100,33
07/2004;99,6 ;104,82 ;101,33
08/2004;100,8 ;105,58 ;102,20
09/2004;102,3 ;106,51 ;102,79
10/2004;100,8 ;106,39 ;103,21
11/2004;101,4 ;106,62 ;103,48
12/2004;102,2 ;106,96 ;101,79
01/2005;102,8 ;107,36 ;102,38
02/2005;100,7 ;107,04 ;103,00
03/2005;102,0 ;107,77 ;103,70
04/2005;101,5 ;108,27 ;105,17
05/2005;104,5 ;108,25 ;106,48
06/2005;103,0 ;108,47 ;107,66
07/2005;102,1 ;108,21 ;108,41
08/2005;103,0 ;108,72 ;109,01
09/2005;102,6 ;108,87 ;109,63
10/2005;101,7 ;109,39 ;110,07
11/2005;103,4 ;110,12 ;109,94
12/2005;105,2 ;110,84 ;108,61
01/2006;105,7 ;111,60 ;109,17
02/2006;105,9 ;111,86 ;110,28
03/2006;105,4 ;111,67 ;110,91
04/2006;106,4 ;112,77 ;112,30
05/2006;107,7 ;113,46 ;113,60
06/2006;105,8 ;112,83 ;114,57
07/2006;106,5 ;114,20 ;115,38
08/2006;106,1 ;113,80 ;115,93
09/2006;104,7 ;113,86 ;116,42
10/2006;105,6 ;114,77 ;116,85
11/2006;105,9 ;115,32 ;116,81
12/2006;108,0 ;116,77 ;115,37
01/2007;106,8 ;116,57 ;115,99
02/2007;109,0 ;117,32 ;116,91
03/2007;109,6 ;117,60 ;117,80
04/2007;110,8 ;118,32 ;119,41
05/2007;110,8 ;119,15 ;120,67
06/2007;113,1 ;120,22 ;121,67
07/2007;112,7 ;120,80 ;122,30
08/2007;113,6 ;121,48 ;122,77
09/2007;113,7 ;122,23 ;123,63
10/2007;116,6 ;123,20 ;124,48
11/2007;115,4 ;123,57 ;125,03
12/2007;115,0 ;123,86 ;123,45
01/2008;118,3 ;124,52 ;124,14
02/2008;116,7 ;124,83 ;125,31
03/2008;118,1 ;125,89 ;126,51
04/2008;117,8 ;126,73 ;128,21
05/2008;118,9 ;127,50 ;129,36
06/2008;122,9 ;128,70 ;130,96
07/2008;121,9 ;129,53 ;131,93
08/2008;118,8 ;128,89 ;132,94
09/2008;120,9 ;129,61 ;133,84
10/2008;118,2 ;128,14 ;134,04
11/2008;111,6 ;126,07 ;133,78
12/2008;97,3 ;122,48 ;130,54
01/2009;99,9 ;123,22 ;129,96
02/2009;100,7 ;123,84 ;130,10
03/2009;102,6 ;124,71 ;130,60
04/2009;103,8 ;125,36 ;131,45
05/2009;105,9 ;126,12 ;132,35
06/2009;107,2 ;126,50 ;132,99
07/2009;108,0 ;125,87 ;133,58
08/2009;108,6 ;126,94 ;134,49
09/2009;111,3 ;129,00 ;135,27
10/2009;113,4 ;129,89 ;136,20
11/2009;115,2 ;129,61 ;137,23
12/2009;116,9 ;131,97 ;135,23
01/2010;117,0 ;132,28 ;135,95
02/2010;117,6 ;133,06 ;137,01
03/2010;118,0 ;133,64 ;138,64
04/2010;119,7 ;134,16 ;140,22
05/2010;118,8 ;134,00 ;141,82
06/2010;119,7 ;134,53 ;142,91
07/2010;118,5 ;134,82 ;143,71
08/2010;119,4 ;135,76 ;145,03
09/2010;120,3 ;135,86 ;145,79
10/2010;119,5 ;136,10 ;146,59
11/2010;120,6 ;137,13 ;146,96
12/2010;120,7 ;137,27 ;145,16
01/2011;120,8 ;138,26 ;145,83
02/2011;123,6 ;139,55 ;147,29
03/2011;123,7 ;139,25 ;147,95
