Data;21935 - Produção Industrial (2012=100) – Geral – Sul – com ajuste sazonal - Índice;25403 - Índice de Atividade Econômica Regional - Região Sul - IBCR-S - com ajuste sazonal - Índice;28316 - Índice de emprego formal - Sul - Índice
01/2002;85,6 ;-;-
02/2002;86,9 ;-;-
03/2002;86,4 ;-;-
04/2002;86,5 ;-;-
05/2002;87,5 ;-;-
06/2002;86,7 ;-;-
07/2002;84,5 ;-;-
08/2002;85,6 ;-;-
09/2002;88,6 ;-;-
10/2002;86,9 ;-;-
11/2002;89,5 ;-;-
12/2002;87,5 ;-;-
01/2003;89,9 ;102,45 ;-
02/2003;89,7 ;105,67 ;-
03/2003;89,1 ;108,57 ;-
04/2003;89,7 ;104,33 ;-
05/2003;86,6 ;101,07 ;-
06/2003;86,2 ;100,53 ;-
07/2003;82,9 ;99,01 ;-
08/2003;86,1 ;100,68 ;-
09/2003;90,2 ;102,08 ;-
10/2003;90,2 ;101,75 ;-
11/2003;92,8 ;103,07 ;-
12/2003;89,4 ;101,32 ;-
01/2004;91,2 ;104,66 ;95,51
02/2004;93,3 ;106,36 ;96,54
03/2004;94,2 ;110,95 ;97,45
04/2004;94,6 ;107,05 ;98,36
05/2004;93,7 ;103,14 ;99,15
06/2004;95,7 ;104,21 ;99,71
07/2004;98,8 ;106,34 ;100,33
08/2004;98,4 ;107,73 ;101,26
09/2004;97,0 ;107,85 ;102,15
10/2004;97,9 ;107,94 ;103,13
11/2004;95,6 ;108,01 ;103,87
12/2004;95,4 ;107,36 ;102,55
01/2005;97,2 ;107,28 ;103,45
02/2005;94,7 ;106,64 ;104,01
03/2005;95,5 ;109,51 ;104,61
04/2005;95,2 ;107,33 ;105,51
05/2005;99,2 ;106,99 ;105,80
06/2005;96,6 ;107,03 ;106,01
07/2005;95,2 ;107,18 ;106,00
08/2005;95,7 ;107,39 ;106,36
09/2005;93,2 ;107,37 ;106,79
10/2005;92,9 ;106,92 ;107,31
11/2005;93,1 ;107,05 ;107,91
12/2005;95,1 ;107,08 ;106,74
01/2006;93,5 ;109,48 ;107,40
02/2006;93,2 ;108,18 ;108,56
03/2006;91,6 ;107,68 ;108,88
04/2006;91,2 ;108,23 ;109,71
05/2006;93,6 ;110,00 ;109,97
06/2006;93,2 ;110,05 ;110,12
07/2006;92,9 ;110,92 ;110,32
08/2006;92,9 ;110,59 ;110,70
09/2006;93,9 ;111,04 ;111,24
10/2006;92,5 ;111,40 ;112,09
11/2006;94,9 ;111,98 ;112,91
12/2006;97,5 ;114,20 ;111,80
01/2007;95,6 ;115,26 ;112,75
02/2007;97,1 ;115,45 ;113,73
03/2007;99,0 ;114,56 ;114,55
04/2007;101,9 ;116,12 ;115,77
05/2007;100,8 ;116,83 ;116,11
06/2007;100,8 ;117,73 ;116,37
07/2007;99,6 ;117,45 ;116,69
08/2007;99,9 ;117,78 ;117,18
09/2007;100,1 ;118,80 ;118,14
10/2007;101,9 ;120,29 ;119,28
11/2007;100,8 ;120,60 ;120,29
12/2007;102,1 ;120,85 ;119,02
01/2008;103,9 ;120,85 ;120,19
02/2008;104,8 ;120,72 ;121,27
03/2008;105,0 ;120,33 ;122,42
04/2008;104,7 ;121,17 ;123,57
05/2008;102,6 ;123,50 ;124,12
06/2008;104,3 ;124,06 ;124,85
07/2008;104,4 ;124,77 ;125,49
08/2008;103,9 ;125,08 ;126,26
09/2008;108,4 ;127,36 ;127,21
10/2008;103,0 ;123,92 ;127,77
11/2008;97,6 ;122,66 ;128,07
12/2008;86,1 ;118,38 ;125,63
01/2009;88,8 ;120,10 ;125,98
02/2009;90,8 ;120,24 ;126,26
03/2009;92,2 ;120,41 ;126,65
04/2009;95,2 ;121,23 ;126,97
05/2009;95,1 ;121,12 ;127,17
06/2009;95,4 ;121,44 ;127,34
07/2009;96,2 ;121,08 ;127,66
08/2009;97,7 ;122,65 ;128,57
09/2009;99,1 ;123,55 ;129,55
10/2009;100,6 ;125,28 ;130,73
11/2009;102,6 ;125,57 ;132,13
12/2009;104,4 ;128,14 ;130,50
01/2010;105,9 ;128,76 ;131,84
02/2010;100,2 ;129,78 ;133,03
03/2010;107,0 ;132,41 ;134,43
04/2010;105,1 ;131,47 ;135,68
05/2010;106,6 ;130,88 ;136,53
06/2010;108,6 ;131,63 ;137,11
07/2010;106,3 ;131,58 ;137,77
08/2010;100,5 ;130,81 ;139,01
09/2010;102,3 ;132,17 ;139,92
10/2010;100,2 ;132,11 ;141,07
11/2010;106,4 ;135,11 ;142,12
12/2010;107,0 ;133,91 ;140,43
01/2011;106,7 ;137,16 ;141,62
02/2011;107,2 ;135,51 ;143,03
03/2011;107,4 ;135,75 ;143,89
04/2011;107,6 ;136,25 ;144,96
