Data;25410 - Índice de Atividade Econômica Regional - Pará - IBCR-PA - com ajuste sazonal - Índice;28303 - Índice de emprego formal - Pará - Índice
01/2003;102,68 ;-
02/2003;102,53 ;-
03/2003;103,43 ;-
04/2003;103,24 ;-
05/2003;105,48 ;-
06/2003;109,32 ;-
07/2003;105,77 ;-
08/2003;103,23 ;-
09/2003;104,12 ;-
10/2003;103,07 ;-
11/2003;102,35 ;-
12/2003;104,14 ;-
01/2004;104,44 ;93,14
02/2004;104,79 ;93,96
03/2004;106,60 ;94,38
04/2004;108,98 ;95,58
05/2004;110,09 ;97,01
06/2004;111,85 ;98,68
07/2004;111,13 ;100,63
08/2004;110,03 ;102,69
09/2004;110,80 ;104,85
10/2004;109,79 ;106,02
11/2004;111,17 ;106,89
12/2004;111,54 ;106,17
01/2005;112,73 ;107,01
02/2005;113,87 ;107,43
03/2005;113,09 ;108,23
04/2005;113,97 ;109,48
05/2005;113,74 ;110,16
06/2005;115,05 ;111,16
07/2005;113,00 ;111,56
08/2005;114,30 ;112,70
09/2005;114,65 ;114,61
10/2005;115,21 ;115,53
11/2005;115,92 ;116,45
12/2005;116,54 ;115,51
01/2006;117,15 ;115,88
02/2006;118,40 ;116,93
03/2006;118,95 ;116,87
04/2006;120,02 ;117,65
05/2006;119,99 ;118,61
06/2006;120,60 ;119,88
07/2006;122,15 ;121,53
08/2006;124,19 ;124,07
09/2006;124,16 ;125,70
10/2006;125,06 ;126,59
11/2006;125,92 ;127,15
12/2006;124,87 ;125,63
01/2007;125,50 ;125,62
02/2007;124,90 ;126,43
03/2007;125,29 ;126,65
04/2007;125,09 ;128,03
05/2007;125,63 ;129,01
06/2007;124,26 ;130,01
07/2007;126,04 ;132,16
08/2007;126,67 ;134,11
09/2007;129,74 ;135,70
10/2007;128,80 ;136,79
11/2007;129,49 ;137,96
12/2007;129,74 ;136,93
01/2008;129,57 ;137,20
02/2008;129,24 ;137,72
03/2008;130,73 ;137,68
04/2008;130,63 ;138,55
05/2008;130,12 ;139,31
06/2008;130,94 ;141,00
07/2008;131,53 ;142,21
08/2008;133,91 ;144,09
09/2008;134,51 ;145,27
10/2008;134,82 ;145,72
11/2008;132,97 ;145,44
12/2008;132,08 ;142,46
01/2009;131,78 ;141,82
02/2009;132,95 ;141,60
03/2009;132,59 ;140,49
04/2009;131,07 ;140,14
05/2009;127,71 ;140,31
06/2009;132,13 ;140,90
07/2009;133,10 ;142,36
08/2009;132,95 ;144,71
09/2009;132,50 ;146,41
10/2009;134,06 ;148,33
11/2009;133,39 ;149,39
12/2009;133,42 ;148,27
01/2010;138,00 ;149,31
02/2010;141,12 ;150,93
03/2010;141,38 ;151,49
04/2010;142,19 ;152,70
05/2010;140,58 ;154,24
06/2010;141,78 ;155,68
07/2010;140,00 ;157,75
08/2010;141,12 ;160,05
09/2010;140,67 ;161,92
10/2010;139,00 ;163,34
11/2010;143,36 ;164,68
12/2010;143,12 ;163,48
01/2011;150,15 ;164,12
02/2011;143,58 ;165,83
03/2011;142,42 ;165,92
04/2011;144,32 ;167,25
05/2011;147,18 ;167,87
06/2011;148,11 ;169,40
07/2011;150,24 ;171,68
08/2011;150,41 ;173,94
09/2011;150,95 ;175,91
10/2011;148,26 ;178,09
11/2011;151,24 ;179,53
12/2011;154,68 ;177,73
01/2012;146,96 ;178,49
02/2012;146,40 ;179,51
03/2012;151,01 ;180,05
04/2012;154,30 ;181,61
05/2012;155,38 ;182,77
06/2012;153,54 ;184,88
07/2012;152,56 ;187,29
08/2012;153,65 ;188,36
09/2012;153,74 ;189,92
10/2012;155,50 ;190,66
11/2012;153,67 ;190,99
12/2012;156,50 ;187,99
01/2013;158,14 ;187,76
02/2013;155,38 ;188,77
03/2013;152,51 ;189,65
04/2013;148,84 ;190,19
05/2013;149,43 ;190,74
06/2013;155,41 ;191,98
07/2013;158,86 ;193,34
08/2013;158,94 ;194,49
09/2013;159,00 ;196,91
10/2013;162,95 ;198,08
11/2013;162,01 ;198,60
12/2013;164,89 ;195,37
01/2014;169,52 ;194,89
02/2014;157,64 ;195,73
03/2014;158,55 ;195,80
04/2014;160,47 ;196,84
05/2014;163,58 ;198,42
06/2014;161,31 ;200,29
07/2014;162,60 ;202,16
08/2014;164,33 ;203,89
09/2014;164,24 ;205,71
10/2014;164,54 ;205,41
11/2014;165,82 ;205,07
12/2014;172,54 ;200,71
01/2015;165,77 ;199,80
02/2015;165,46 ;199,83
03/2015;167,63 ;199,43
04/2015;167,19 ;198,95
05/2015;164,44 ;198,91
06/2015;165,02 ;198,69
07/2015;162,58 ;199,50
08/2015;160,55 ;199,31
09/2015;163,27 ;199,34
10/2015;161,10 ;197,08
11/2015;160,83 ;195,09
12/2015;160,74 ;191,49
01/2016;158,09 ;190,54
02/2016;161,05 ;190,30
03/2016;161,87 ;189,15
04/2016;162,82 ;188,76
05/2016;160,83 ;188,06
06/2016;162,34 ;187,65
07/2016;158,98 ;187,38
08/2016;158,70 ;186,74
09/2016;157,30 ;186,61
10/2016;155,01 ;185,47
11/2016;157,36 ;184,32
12/2016;155,38 ;181,50
01/2017;160,24 ;180,90
02/2017;159,12 ;180,56
03/2017;161,57 ;179,74
04/2017;161,74 ;179,50
05/2017;167,58 ;179,08
06/2017;171,08 ;179,36
07/2017;166,36 ;179,94
08/2017;159,69 ;180,01
09/2017;161,09 ;181,04
10/2017;157,34 ;181,34
11/2017;159,59 ;181,63
12/2017;161,64 ;179,87
01/2018;165,42 ;179,02
02/2018;163,38 ;179,18
03/2018;166,26 ;179,00
04/2018;163,48 ;179,88
05/2018;160,44 ;180,41
06/2018;162,90 ;180,74
07/2018;162,86 ;181,82
08/2018;161,10 ;183,63
09/2018;164,78 ;185,28
10/2018;164,55 ;185,52
11/2018;165,33 ;185,78
12/2018;162,19 ;183,86
01/2019;164,66 ;183,15
02/2019;166,63 ;183,39
03/2019;164,59 ;182,29
04/2019;157,46 ;182,32
05/2019;167,32 ;182,92
06/2019;166,62 ;183,27
07/2019;167,10 ;184,15
08/2019;167,81 ;185,76
09/2019;166,96 ;187,16
10/2019;167,93 ;187,86
11/2019;168,96 ;188,65
12/2019;168,68 ;187,17
01/2020;168,03 ;-
