Data;25418 - Índice de Atividade Econômica Regional - Pernambuco - IBCR-PE - com ajuste sazonal - Índice;28268 - Índice de emprego formal - Pernambuco - Índice
01/2003;100,81 ;-
02/2003;99,97 ;-
03/2003;99,32 ;-
04/2003;99,82 ;-
05/2003;98,68 ;-
06/2003;99,19 ;-
07/2003;98,40 ;-
08/2003;98,68 ;-
09/2003;98,52 ;-
10/2003;97,61 ;-
11/2003;97,55 ;-
12/2003;97,81 ;-
01/2004;98,72 ;97,71
02/2004;99,41 ;97,56
03/2004;101,14 ;95,97
04/2004;100,95 ;95,40
05/2004;102,88 ;96,48
06/2004;102,79 ;96,98
07/2004;102,41 ;97,79
08/2004;103,46 ;100,36
09/2004;104,35 ;104,42
10/2004;104,21 ;105,40
11/2004;102,50 ;106,29
12/2004;104,82 ;105,63
01/2005;104,71 ;105,51
02/2005;105,63 ;103,10
03/2005;105,18 ;102,42
04/2005;104,55 ;103,07
05/2005;105,79 ;104,41
06/2005;105,45 ;105,36
07/2005;107,13 ;106,32
08/2005;107,25 ;107,10
09/2005;106,87 ;112,27
10/2005;107,27 ;113,44
11/2005;108,95 ;113,90
12/2005;109,09 ;113,11
01/2006;109,39 ;111,96
02/2006;109,06 ;109,81
03/2006;109,44 ;109,71
04/2006;111,56 ;110,62
05/2006;109,99 ;112,35
06/2006;111,22 ;113,51
07/2006;112,48 ;114,41
08/2006;112,20 ;115,61
09/2006;113,05 ;119,83
10/2006;114,34 ;120,91
11/2006;114,63 ;121,53
12/2006;114,85 ;120,54
01/2007;113,97 ;119,37
02/2007;113,48 ;117,24
03/2007;114,07 ;116,85
04/2007;115,59 ;117,63
05/2007;116,63 ;119,34
06/2007;116,89 ;120,74
07/2007;116,39 ;121,08
08/2007;116,38 ;123,15
09/2007;116,97 ;127,18
10/2007;118,93 ;128,58
11/2007;118,87 ;129,45
12/2007;122,11 ;129,26
01/2008;120,68 ;128,93
02/2008;121,23 ;128,30
03/2008;121,19 ;126,80
04/2008;119,67 ;125,90
05/2008;120,24 ;126,60
06/2008;121,13 ;128,41
07/2008;121,18 ;129,48
08/2008;121,83 ;131,47
09/2008;122,73 ;137,19
10/2008;121,98 ;138,10
11/2008;121,28 ;138,62
12/2008;121,53 ;137,42
01/2009;123,55 ;136,52
02/2009;121,87 ;136,51
03/2009;121,41 ;133,59
04/2009;122,71 ;132,15
05/2009;122,18 ;133,04
06/2009;122,92 ;134,51
07/2009;123,96 ;135,75
08/2009;125,76 ;138,58
09/2009;126,09 ;142,86
10/2009;125,55 ;144,80
11/2009;127,52 ;146,69
12/2009;127,27 ;146,50
01/2010;126,92 ;147,30
02/2010;129,48 ;147,24
03/2010;130,86 ;145,80
04/2010;130,92 ;145,42
05/2010;131,90 ;147,21
06/2010;130,69 ;149,18
07/2010;131,55 ;150,86
08/2010;132,16 ;154,20
09/2010;132,83 ;159,92
10/2010;133,83 ;162,34
11/2010;134,85 ;163,45
12/2010;135,85 ;162,86
01/2011;132,58 ;162,38
02/2011;135,18 ;163,08
03/2011;136,14 ;162,31
04/2011;135,95 ;162,09
05/2011;136,03 ;163,66
06/2011;138,59 ;165,38
07/2011;138,09 ;166,70
08/2011;138,63 ;169,58
09/2011;140,62 ;173,79
10/2011;141,51 ;175,19
11/2011;141,02 ;176,29
12/2011;140,93 ;175,70
01/2012;140,82 ;176,28
02/2012;142,36 ;176,05
03/2012;141,41 ;175,03
04/2012;140,67 ;175,14
05/2012;142,05 ;176,07
06/2012;141,05 ;177,82
07/2012;140,68 ;178,25
08/2012;141,22 ;179,82
09/2012;140,73 ;182,88
10/2012;143,16 ;183,57
11/2012;142,80 ;183,96
12/2012;144,05 ;182,72
01/2013;145,94 ;181,58
02/2013;145,34 ;181,30
03/2013;144,77 ;180,01
04/2013;145,84 ;179,83
05/2013;145,95 ;179,72
06/2013;145,10 ;180,46
07/2013;145,36 ;180,35
08/2013;145,30 ;181,62
09/2013;142,33 ;186,25
10/2013;144,21 ;187,55
11/2013;145,84 ;188,54
12/2013;147,34 ;187,43
01/2014;150,48 ;187,06
02/2014;148,49 ;187,17
03/2014;148,64 ;186,21
04/2014;147,96 ;184,90
05/2014;146,93 ;183,56
06/2014;142,91 ;183,82
07/2014;142,86 ;183,64
08/2014;144,79 ;184,87
09/2014;144,50 ;188,29
10/2014;142,87 ;188,35
11/2014;144,65 ;187,69
12/2014;143,96 ;186,14
01/2015;149,82 ;184,55
02/2015;148,27 ;183,21
03/2015;144,98 ;181,58
04/2015;141,23 ;179,00
05/2015;139,11 ;178,09
06/2015;139,23 ;177,24
07/2015;137,81 ;175,99
08/2015;136,46 ;175,56
09/2015;135,82 ;177,87
10/2015;135,16 ;177,20
11/2015;138,50 ;176,61
12/2015;133,98 ;174,43
01/2016;136,69 ;172,69
02/2016;134,99 ;170,56
03/2016;139,26 ;169,04
04/2016;140,03 ;168,31
05/2016;140,43 ;167,90
06/2016;140,12 ;167,52
07/2016;141,43 ;166,97
08/2016;141,03 ;168,25
09/2016;140,90 ;170,87
10/2016;140,35 ;170,54
11/2016;138,42 ;170,13
12/2016;137,25 ;168,03
01/2017;139,62 ;166,34
02/2017;136,67 ;164,18
03/2017;138,31 ;163,75
04/2017;142,86 ;163,66
05/2017;142,15 ;163,68
06/2017;142,18 ;164,11
07/2017;141,91 ;164,29
08/2017;143,56 ;164,99
09/2017;141,48 ;166,97
10/2017;142,89 ;168,24
11/2017;143,71 ;168,33
12/2017;144,83 ;167,16
01/2018;143,76 ;166,57
02/2018;143,01 ;165,78
03/2018;144,06 ;164,64
04/2018;142,03 ;164,59
05/2018;139,26 ;164,75
06/2018;146,20 ;164,85
07/2018;147,66 ;164,88
08/2018;151,50 ;166,62
09/2018;148,29 ;169,65
10/2018;144,81 ;169,50
11/2018;144,35 ;169,80
12/2018;144,98 ;167,71
01/2019;145,18 ;166,68
02/2019;145,89 ;165,05
03/2019;145,85 ;164,28
04/2019;149,72 ;164,37
05/2019;148,82 ;164,67
06/2019;147,69 ;164,63
07/2019;146,76 ;164,72
08/2019;146,51 ;166,17
09/2019;148,03 ;168,59
10/2019;149,31 ;169,31
11/2019;149,04 ;169,74
12/2019;149,31 ;169,01
01/2020;149,58 ;-
02/2020;151,33 ;-
03/2020;141,04 ;-
04/2020;125,27 ;-
05/2020;127,28 ;-
06/2020;135,35 ;-
07/2020;141,27 ;-
08/2020;143,41 ;-
09/2020;145,77 ;-
10/2020;148,13 ;-
11/2020;150,98 ;-
12/2020;150,29 ;-
01/2021;151,88 ;-
02/2021;148,97 ;-
03/2021;145,55 ;-
04/2021;144,44 ;-
05/2021;148,20 ;-
06/2021;149,14 ;-
07/2021;149,25 ;-
08/2021;146,55 ;-
09/2021;148,25 ;-
10/2021;153,76 ;-
11/2021;154,54 ;-
12/2021;153,10 ;-
01/2022;152,93 ;-
02/2022;153,87 ;-
03/2022;155,91 ;-
04/2022;155,48 ;-
05/2022;154,00 ;-
06/2022;152,10 ;-
07/2022;151,75 ;-
08/2022;155,37 ;-
09/2022;152,40 ;-
10/2022;150,83 ;-
11/2022;150,90 ;-
12/2022;148,67 ;-
01/2023;154,06 ;-
02/2023;154,99 ;-
03/2023;156,61 ;-
04/2023;155,62 ;-
05/2023;160,55 ;-
06/2023;158,69 ;-
07/2023;158,50 ;-
08/2023;158,41 ;-
09/2023;152,74 ;-
10/2023;157,50 ;-
11/2023;154,14 ;-
12/2023;156,32 ;-
01/2024;159,00 ;-
02/2024;160,76 ;-
03/2024;161,05 ;-
04/2024;164,75 ;-
05/2024;166,95 ;-
06/2024;163,77 ;-
07/2024;165,26 ;-
08/2024;165,75 ;-
09/2024;164,91 ;-
10/2024;162,33 ;-
11/2024;164,42 ;-
Fonte;BCB-Depec;MTb
