Data;25404 - Índice de Atividade Econômica Regional - Rio Grande do Sul - IBCR-RS - com ajuste sazonal - Índice;28315 - Índice de emprego formal - Rio Grande do Sul - Índice
01/2003;101,27 ;-
02/2003;106,76 ;-
03/2003;107,79 ;-
04/2003;107,92 ;-
05/2003;101,82 ;-
06/2003;100,02 ;-
07/2003;95,80 ;-
08/2003;97,93 ;-
09/2003;99,38 ;-
10/2003;100,75 ;-
11/2003;102,55 ;-
12/2003;99,70 ;-
01/2004;103,80 ;96,04
02/2004;105,48 ;97,16
03/2004;111,24 ;98,29
04/2004;108,07 ;98,92
05/2004;102,32 ;99,31
06/2004;103,99 ;99,69
07/2004;103,78 ;100,11
08/2004;102,84 ;100,68
09/2004;101,36 ;101,35
10/2004;105,04 ;102,50
11/2004;104,42 ;103,44
12/2004;104,33 ;102,52
01/2005;102,67 ;103,49
02/2005;100,99 ;103,96
03/2005;103,07 ;104,37
04/2005;102,40 ;104,87
05/2005;102,70 ;104,57
06/2005;104,16 ;104,42
07/2005;103,79 ;103,94
08/2005;104,89 ;103,75
09/2005;101,05 ;103,95
10/2005;102,34 ;104,73
11/2005;103,25 ;105,60
12/2005;103,53 ;104,72
01/2006;104,92 ;105,29
02/2006;105,34 ;106,30
03/2006;104,13 ;106,75
04/2006;105,53 ;107,38
05/2006;106,58 ;107,19
06/2006;106,38 ;107,10
07/2006;107,67 ;106,92
08/2006;107,78 ;107,09
09/2006;108,82 ;107,36
10/2006;107,97 ;108,13
11/2006;107,10 ;109,22
12/2006;109,54 ;108,49
01/2007;111,18 ;109,47
02/2007;112,39 ;110,30
03/2007;110,79 ;110,91
04/2007;112,20 ;111,84
05/2007;113,10 ;111,69
06/2007;112,86 ;111,65
07/2007;113,02 ;111,57
08/2007;113,34 ;111,66
09/2007;113,65 ;112,60
10/2007;115,13 ;113,82
11/2007;115,75 ;115,10
12/2007;117,15 ;114,63
01/2008;115,49 ;115,84
02/2008;116,17 ;117,04
03/2008;114,21 ;118,19
04/2008;115,21 ;119,05
05/2008;117,51 ;119,23
06/2008;118,50 ;119,74
07/2008;117,90 ;120,09
08/2008;118,42 ;120,46
09/2008;120,32 ;121,13
10/2008;117,34 ;121,69
11/2008;115,08 ;122,23
12/2008;113,72 ;120,57
01/2009;113,71 ;120,82
02/2009;115,16 ;120,95
03/2009;117,45 ;121,28
04/2009;117,89 ;121,52
05/2009;117,07 ;121,36
06/2009;117,54 ;121,32
07/2009;117,22 ;121,36
08/2009;118,42 ;122,08
09/2009;119,64 ;123,04
10/2009;119,96 ;124,28
11/2009;118,75 ;125,88
12/2009;123,19 ;125,23
01/2010;121,93 ;126,52
02/2010;122,14 ;127,76
03/2010;124,21 ;129,57
04/2010;124,17 ;130,85
05/2010;123,63 ;131,55
06/2010;124,74 ;132,11
07/2010;126,06 ;132,77
08/2010;124,65 ;133,80
09/2010;123,96 ;134,51
10/2010;124,09 ;135,67
11/2010;127,28 ;137,01
12/2010;126,70 ;135,99
01/2011;128,14 ;137,09
02/2011;129,04 ;138,38
03/2011;130,35 ;139,64
04/2011;129,87 ;140,71
05/2011;129,83 ;141,03
06/2011;129,66 ;141,49
07/2011;130,41 ;141,87
08/2011;129,69 ;142,28
09/2011;129,87 ;142,73
10/2011;130,86 ;143,78
11/2011;131,04 ;144,61
12/2011;134,08 ;143,32
01/2012;127,42 ;144,22
02/2012;123,69 ;144,82
03/2012;118,07 ;145,96
04/2012;120,18 ;146,89
05/2012;130,88 ;146,77
06/2012;132,57 ;146,79
07/2012;131,65 ;147,09
08/2012;134,43 ;147,59
09/2012;133,07 ;148,14
10/2012;133,28 ;148,89
11/2012;133,19 ;149,88
12/2012;134,28 ;148,30
01/2013;134,12 ;149,47
02/2013;135,46 ;150,56
03/2013;132,53 ;152,33
04/2013;135,72 ;153,00
05/2013;138,01 ;152,90
06/2013;137,87 ;153,12
07/2013;140,15 ;152,92
08/2013;140,65 ;153,38
09/2013;140,06 ;154,08
10/2013;140,72 ;154,66
11/2013;141,41 ;155,30
12/2013;137,64 ;153,57
01/2014;138,90 ;154,18
02/2014;139,55 ;155,79
03/2014;139,51 ;156,55
04/2014;138,15 ;156,96
05/2014;138,18 ;156,78
06/2014;133,75 ;156,54
07/2014;134,57 ;156,23
08/2014;137,03 ;156,19
09/2014;138,77 ;156,43
10/2014;137,59 ;156,54
11/2014;137,72 ;157,21
12/2014;137,97 ;154,94
01/2015;136,32 ;155,43
02/2015;135,91 ;155,68
03/2015;137,87 ;156,44
04/2015;136,94 ;156,01
05/2015;133,49 ;155,11
06/2015;130,42 ;154,30
07/2015;131,21 ;153,24
08/2015;130,80 ;152,55
09/2015;129,53 ;152,08
10/2015;128,81 ;151,60
11/2015;127,81 ;151,46
12/2015;128,74 ;149,44
01/2016;129,47 ;149,89
02/2016;129,17 ;150,28
03/2016;127,11 ;150,59
04/2016;128,43 ;150,19
05/2016;129,11 ;149,29
06/2016;128,38 ;148,70
07/2016;127,41 ;148,02
08/2016;128,20 ;147,93
09/2016;127,17 ;147,78
10/2016;127,92 ;147,93
11/2016;127,95 ;147,99
12/2016;126,26 ;146,32
01/2017;129,59 ;146,82
02/2017;134,58 ;147,48
03/2017;135,03 ;147,81
04/2017;133,54 ;147,63
05/2017;131,57 ;146,91
06/2017;130,04 ;146,37
07/2017;130,40 ;146,32
08/2017;128,36 ;146,24
09/2017;128,97 ;146,24
10/2017;127,63 ;146,75
11/2017;129,25 ;147,29
12/2017;133,41 ;145,84
01/2018;131,43 ;146,90
02/2018;131,29 ;147,69
03/2018;130,19 ;148,46
04/2018;131,04 ;148,40
05/2018;129,10 ;147,79
06/2018;134,01 ;147,42
07/2018;134,99 ;147,28
08/2018;136,41 ;147,07
09/2018;136,71 ;147,17
10/2018;135,41 ;147,73
11/2018;136,21 ;148,35
12/2018;134,92 ;147,04
