Data;432 - Taxa de juros - Meta Selic definida pelo Copom - % a.a.
01/01/2004;16,50
02/01/2004;16,50
03/01/2004;16,50
04/01/2004;16,50
05/01/2004;16,50
06/01/2004;16,50
07/01/2004;16,50
08/01/2004;16,50
09/01/2004;16,50
10/01/2004;16,50
11/01/2004;16,50
12/01/2004;16,50
13/01/2004;16,50
14/01/2004;16,50
15/01/2004;16,50
16/01/2004;16,50
17/01/2004;16,50
18/01/2004;16,50
19/01/2004;16,50
20/01/2004;16,50
21/01/2004;16,50
22/01/2004;16,50
23/01/2004;16,50
24/01/2004;16,50
25/01/2004;16,50
26/01/2004;16,50
27/01/2004;16,50
28/01/2004;16,50
29/01/2004;16,50
30/01/2004;16,50
31/01/2004;16,50
01/02/2004;16,50
02/02/2004;16,50
03/02/2004;16,50
04/02/2004;16,50
05/02/2004;16,50
06/02/2004;16,50
07/02/2004;16,50
08/02/2004;16,50
09/02/2004;16,50
10/02/2004;16,50
11/02/2004;16,50
12/02/2004;16,50
13/02/2004;16,50
14/02/2004;16,50
15/02/2004;16,50
16/02/2004;16,50
17/02/2004;16,50
18/02/2004;16,50
19/02/2004;16,50
20/02/2004;16,50
21/02/2004;16,50
22/02/2004;16,50
23/02/2004;16,50
24/02/2004;16,50
25/02/2004;16,50
26/02/2004;16,50
27/02/2004;16,50
28/02/2004;16,50
29/02/2004;16,50
01/03/2004;16,50
02/03/2004;16,50
03/03/2004;16,50
04/03/2004;16,50
05/03/2004;16,50
06/03/2004;16,50
07/03/2004;16,50
08/03/2004;16,50
09/03/2004;16,50
10/03/2004;16,50
11/03/2004;16,50
12/03/2004;16,50
13/03/2004;16,50
14/03/2004;16,50
15/03/2004;16,50
16/03/2004;16,50
17/03/2004;16,50
18/03/2004;16,25
19/03/2004;16,25
20/03/2004;16,25
21/03/2004;16,25
22/03/2004;16,25
23/03/2004;16,25
24/03/2004;16,25
25/03/2004;16,25
26/03/2004;16,25
27/03/2004;16,25
28/03/2004;16,25
29/03/2004;16,25
30/03/2004;16,25
31/03/2004;16,25
01/04/2004;16,25
02/04/2004;16,25
03/04/2004;16,25
04/04/2004;16,25
05/04/2004;16,25
06/04/2004;16,25
07/04/2004;16,25
08/04/2004;16,25
09/04/2004;16,25
10/04/2004;16,25
11/04/2004;16,25
12/04/2004;16,25
13/04/2004;16,25
14/04/2004;16,25
15/04/2004;16,00
16/04/2004;16,00
17/04/2004;16,00
18/04/2004;16,00
19/04/2004;16,00
20/04/2004;16,00
21/04/2004;16,00
22/04/2004;16,00
23/04/2004;16,00
24/04/2004;16,00
25/04/2004;16,00
26/04/2004;16,00
27/04/2004;16,00
28/04/2004;16,00
29/04/2004;16,00
30/04/2004;16,00
01/05/2004;16,00
02/05/2004;16,00
03/05/2004;16,00
04/05/2004;16,00
05/05/2004;16,00
06/05/2004;16,00
07/05/2004;16,00
08/05/2004;16,00
09/05/2004;16,00
10/05/2004;16,00
11/05/2004;16,00
12/05/2004;16,00
13/05/2004;16,00
14/05/2004;16,00
15/05/2004;16,00
16/05/2004;16,00
17/05/2004;16,00
18/05/2004;16,00
19/05/2004;16,00
20/05/2004;16,00
21/05/2004;16,00
22/05/2004;16,00
23/05/2004;16,00
24/05/2004;16,00
25/05/2004;16,00
26/05/2004;16,00
27/05/2004;16,00
28/05/2004;16,00
29/05/2004;16,00
30/05/2004;16,00
31/05/2004;16,00
01/06/2004;16,00
02/06/2004;16,00
