IDHM - Índice de Desenvolvimento Humano Municipal
Sigla;Código;Estado;2017;2018;2019;2020;2021;
AC;12;Acre;0,712;0,733;0,739;0,746;0,71;
AL;27;Alagoas;0,679;0,689;0,687;0,694;0,684;
AM;13;Amazonas;0,728;0,718;0,726;0,727;0,7;
AP;16;Amapá;0,732;0,741;0,737;0,724;0,688;
BA;29;Bahia;0,71;0,71;0,718;0,724;0,691;
CE;23;Ceará;0,73;0,739;0,744;0,755;0,734;
DF;53;Distrito Federal;0,842;0,845;0,859;0,829;0,814;
ES;32;Espírito Santo;0,78;0,788;0,793;0,792;0,771;
GO;52;Goiás;0,765;0,771;0,774;0,758;0,737;
MA;21;Maranhão;0,685;0,686;0,694;0,699;0,676;
MG;31;Minas Gerais;0,784;0,784;0,793;0,789;0,774;
MS;50;Mato Grosso do Sul;0,762;0,77;0,777;0,76;0,742;
MT;51;Mato Grosso;0,77;0,778;0,779;0,756;0,736;
PA;15;Pará;0,694;0,707;0,704;0,719;0,69;
PB;25;Paraíba;0,717;0,711;0,713;0,714;0,698;
PE;26;Pernambuco;0,722;0,735;0,74;0,739;0,719;
PI;22;Piauí;0,694;0,699;0,706;0,708;0,69;
PR;41;Paraná;0,797;0,805;0,807;0,787;0,769;
RJ;33;Rio de Janeiro;0,791;0,805;0,809;0,785;0,762;
RN;24;Rio Grande do Norte;0,728;0,739;0,742;0,75;0,728;
RO;11;Rondônia;0,721;0,73;0,73;0,739;0,7;
RR;14;Roraima;0,746;0,76;0,749;0,739;0,699;
RS;43;Rio Grande do Sul;0,793;0,797;0,801;0,78;0,771;
SC;42;Santa Catarina;0,817;0,819;0,826;0,803;0,792;
SE;28;Sergipe;0,699;0,71;0,705;0,722;0,702;
SP;35;São Paulo;0,831;0,837;0,845;0,823;0,806;
TO;17;Tocantins;0,74;0,749;0,751;0,755;0,731;
