Data;25399 - Índice de Atividade Econômica Regional - Espírito Santo - IBCR-ES - com ajuste sazonal - Índice;28308 - Índice de emprego formal - Espírito Santo - Índice
01/2003;104,13 ;-
02/2003;109,19 ;-
03/2003;103,21 ;-
04/2003;102,44 ;-
05/2003;96,01 ;-
06/2003;101,26 ;-
07/2003;102,95 ;-
08/2003;103,25 ;-
09/2003;104,45 ;-
10/2003;102,78 ;-
11/2003;103,07 ;-
12/2003;104,90 ;-
01/2004;105,26 ;95,01
02/2004;106,26 ;95,31
03/2004;105,78 ;95,91
04/2004;107,37 ;97,71
05/2004;102,75 ;99,54
06/2004;107,19 ;99,61
07/2004;106,29 ;100,60
08/2004;107,16 ;101,64
09/2004;107,15 ;103,01
10/2004;108,54 ;103,35
11/2004;110,62 ;104,56
12/2004;111,89 ;103,75
01/2005;111,97 ;104,35
02/2005;111,51 ;104,47
03/2005;112,18 ;105,68
04/2005;112,26 ;107,99
05/2005;110,78 ;110,12
06/2005;110,13 ;110,63
07/2005;107,74 ;111,08
08/2005;109,85 ;112,18
09/2005;111,26 ;113,05
10/2005;113,61 ;114,48
11/2005;112,78 ;115,06
12/2005;112,55 ;113,93
01/2006;116,36 ;114,76
02/2006;114,28 ;115,66
03/2006;114,64 ;116,17
04/2006;115,76 ;118,63
05/2006;117,34 ;120,80
06/2006;121,88 ;120,43
07/2006;119,37 ;121,07
08/2006;114,07 ;122,00
09/2006;119,96 ;122,71
10/2006;120,83 ;123,59
11/2006;121,08 ;124,15
12/2006;121,24 ;123,06
01/2007;120,34 ;123,57
02/2007;122,10 ;123,77
03/2007;122,66 ;124,94
04/2007;121,18 ;127,69
05/2007;127,49 ;128,90
06/2007;127,99 ;128,23
07/2007;125,02 ;128,73
08/2007;125,65 ;128,92
09/2007;119,06 ;129,82
10/2007;124,94 ;129,91
11/2007;126,64 ;130,31
12/2007;130,15 ;129,89
01/2008;127,45 ;130,33
02/2008;126,90 ;131,39
03/2008;131,24 ;132,58
04/2008;131,61 ;134,53
05/2008;135,15 ;137,07
06/2008;134,21 ;137,51
07/2008;132,73 ;138,00
08/2008;133,34 ;138,84
09/2008;132,60 ;140,14
10/2008;128,32 ;140,40
11/2008;118,89 ;140,22
12/2008;115,81 ;137,44
01/2009;112,24 ;136,69
02/2009;116,50 ;136,70
03/2009;115,78 ;136,91
04/2009;119,61 ;138,05
05/2009;122,84 ;140,50
06/2009;122,00 ;139,21
07/2009;124,74 ;139,40
08/2009;128,33 ;140,30
09/2009;129,50 ;141,43
10/2009;131,70 ;142,98
11/2009;131,39 ;144,16
12/2009;134,66 ;143,20
01/2010;136,75 ;144,05
02/2010;136,48 ;145,17
03/2010;137,21 ;146,09
04/2010;135,23 ;148,33
05/2010;132,79 ;150,13
06/2010;137,64 ;149,81
07/2010;139,11 ;150,18
08/2010;141,54 ;151,28
09/2010;142,10 ;151,94
10/2010;143,49 ;152,84
11/2010;142,31 ;153,61
12/2010;141,70 ;151,97
01/2011;149,61 ;152,48
02/2011;151,17 ;153,78
03/2011;149,77 ;153,78
04/2011;150,98 ;155,87
05/2011;150,44 ;158,74
06/2011;150,56 ;158,40
07/2011;151,50 ;158,71
08/2011;149,51 ;159,49
09/2011;150,86 ;160,27
10/2011;150,55 ;161,35
11/2011;154,51 ;161,89
12/2011;153,86 ;161,04
01/2012;149,07 ;161,61
02/2012;150,25 ;161,89
03/2012;154,45 ;162,89
04/2012;149,85 ;165,38
05/2012;157,09 ;166,51
06/2012;156,40 ;165,52
07/2012;154,54 ;166,21
08/2012;151,86 ;166,20
09/2012;148,96 ;166,88
10/2012;156,56 ;167,56
11/2012;147,38 ;167,96
12/2012;150,28 ;166,78
01/2013;150,26 ;166,59
02/2013;155,02 ;166,71
03/2013;149,31 ;167,36
04/2013;151,62 ;169,32
05/2013;149,75 ;169,77
06/2013;149,98 ;169,63
07/2013;149,13 ;169,41
08/2013;150,33 ;170,21
09/2013;149,95 ;171,38
10/2013;152,82 ;172,04
11/2013;155,09 ;172,50
12/2013;151,83 ;171,16
01/2014;153,23 ;171,09
02/2014;151,06 ;172,08
03/2014;152,23 ;172,09
04/2014;153,22 ;173,39
05/2014;151,14 ;174,93
06/2014;154,57 ;173,95
07/2014;157,91 ;173,86
08/2014;161,16 ;174,27
09/2014;161,34 ;175,27
10/2014;160,82 ;175,15
11/2014;163,57 ;175,46
12/2014;161,77 ;173,39
01/2015;163,35 ;173,17
02/2015;164,57 ;172,56
03/2015;161,20 ;172,23
04/2015;159,14 ;172,28
05/2015;150,64 ;171,85
06/2015;157,59 ;170,20
07/2015;156,39 ;168,88
08/2015;158,68 ;167,92
09/2015;156,44 ;167,38
10/2015;154,46 ;166,64
11/2015;144,93 ;165,91
12/2015;144,14 ;163,47
01/2016;144,22 ;162,86
02/2016;150,53 ;162,00
03/2016;146,03 ;161,17
04/2016;144,78 ;161,14
05/2016;141,23 ;161,43
06/2016;141,16 ;160,08
07/2016;143,62 ;159,12
08/2016;141,31 ;158,07
09/2016;143,59 ;157,66
10/2016;145,58 ;157,24
11/2016;142,76 ;156,75
12/2016;145,46 ;155,08
01/2017;147,00 ;155,34
02/2017;145,28 ;154,94
03/2017;143,23 ;154,71
04/2017;145,23 ;155,59
05/2017;149,50 ;156,67
06/2017;148,13 ;156,34
07/2017;143,75 ;155,92
08/2017;144,77 ;155,33
09/2017;140,43 ;155,47
10/2017;142,68 ;155,92
11/2017;144,39 ;156,01
12/2017;142,92 ;154,68
01/2018;143,21 ;155,36
02/2018;145,51 ;155,66
03/2018;146,28 ;156,16
04/2018;148,09 ;156,84
05/2018;156,99 ;158,09
06/2018;150,47 ;157,78
07/2018;149,50 ;157,66
08/2018;147,65 ;157,70
09/2018;147,77 ;158,50
10/2018;147,59 ;158,75
11/2018;149,26 ;159,51
12/2018;148,43 ;158,62
01/2019;148,24 ;159,31
02/2019;145,60 ;160,21
03/2019;146,39 ;160,05
04/2019;142,43 ;160,84
05/2019;140,11 ;163,00
06/2019;141,68 ;162,84
07/2019;142,88 ;161,95
08/2019;144,18 ;162,03
09/2019;143,79 ;162,70
10/2019;141,40 ;163,12
11/2019;140,54 ;163,70
12/2019;140,93 ;162,94
01/2020;140,99 ;-
02/2020;144,20 ;-
03/2020;136,91 ;-
04/2020;121,61 ;-
05/2020;118,15 ;-
06/2020;120,80 ;-
07/2020;132,18 ;-
08/2020;135,39 ;-
09/2020;137,55 ;-
10/2020;141,00 ;-
11/2020;142,41 ;-
12/2020;144,68 ;-
01/2021;141,16 ;-
02/2021;142,93 ;-
03/2021;141,92 ;-
04/2021;142,84 ;-
05/2021;142,35 ;-
06/2021;140,86 ;-
07/2021;143,94 ;-
08/2021;145,14 ;-
09/2021;144,30 ;-
10/2021;146,07 ;-
11/2021;144,81 ;-
12/2021;146,29 ;-
01/2022;147,66 ;-
02/2022;144,86 ;-
03/2022;146,63 ;-
04/2022;144,86 ;-
05/2022;145,99 ;-
06/2022;141,87 ;-
07/2022;136,56 ;-
08/2022;138,68 ;-
09/2022;138,92 ;-
10/2022;136,24 ;-
11/2022;137,81 ;-
12/2022;132,47 ;-
01/2023;141,50 ;-
02/2023;144,25 ;-
03/2023;143,24 ;-
04/2023;144,36 ;-
05/2023;146,83 ;-
06/2023;147,87 ;-
07/2023;146,92 ;-
08/2023;147,62 ;-
09/2023;144,59 ;-
10/2023;143,02 ;-
11/2023;148,64 ;-
12/2023;148,80 ;-
01/2024;146,47 ;-
02/2024;147,54 ;-
03/2024;148,38 ;-
04/2024;149,89 ;-
05/2024;153,18 ;-
06/2024;150,55 ;-
07/2024;150,88 ;-
08/2024;150,00 ;-
09/2024;150,23 ;-
10/2024;149,32 ;-
11/2024;149,20 ;-
Fonte;BCB-Depec;MTb
