Data;Indicador de Incerteza da Economia Brasil (IIE-Br)(1428452)
01/2000;85,800
02/2000;86,100
03/2000;85,000
04/2000;86,300
05/2000;85,100
06/2000;88,200
07/2000;85,800
08/2000;86,500
09/2000;86,600
10/2000;85,800
11/2000;86,000
12/2000;83,600
01/2001;88,100
02/2001;86,200
03/2001;86,600
04/2001;89,500
05/2001;90,000
06/2001;102,400
07/2001;99,200
08/2001;89,500
09/2001;103,000
10/2001;104,100
11/2001;93,000
12/2001;105,400
01/2002;111,400
02/2002;94,400
03/2002;103,000
04/2002;95,000
05/2002;104,500
06/2002;103,800
07/2002;107,800
08/2002;126,300
09/2002;118,300
10/2002;132,100
11/2002;127,700
12/2002;125,000
01/2003;118,400
02/2003;112,400
03/2003;108,800
04/2003;98,900
05/2003;113,600
06/2003;103,600
07/2003;111,400
08/2003;105,900
09/2003;94,500
10/2003;98,600
11/2003;96,900
12/2003;92,800
01/2004;94,500
02/2004;90,000
03/2004;98,200
04/2004;101,900
05/2004;94,700
06/2004;93,600
07/2004;94,600
08/2004;91,800
09/2004;93,600
10/2004;89,500
11/2004;91,900
12/2004;89,800
01/2005;93,100
02/2005;90,800
03/2005;91,400
04/2005;98,300
05/2005;99,600
06/2005;100,400
07/2005;99,800
08/2005;99,300
09/2005;95,400
10/2005;92,300
11/2005;97,400
12/2005;89,400
01/2006;93,400
02/2006;89,000
03/2006;92,300
04/2006;90,100
05/2006;98,000
06/2006;94,100
07/2006;93,500
08/2006;94,000
09/2006;96,400
10/2006;98,500
11/2006;91,700
12/2006;97,700
01/2007;91,800
02/2007;97,000
03/2007;91,500
04/2007;95,500
05/2007;96,800
06/2007;89,300
07/2007;88,400
08/2007;96,200
09/2007;96,200
10/2007;97,200
11/2007;96,300
12/2007;92,100
01/2008;99,300
02/2008;98,000
03/2008;97,400
04/2008;95,100
05/2008;92,300
06/2008;91,900
07/2008;92,400
08/2008;90,500
09/2008;98,700
10/2008;132,400
11/2008;128,200
12/2008;121,800
01/2009;120,000
02/2009;123,600
03/2009;125,600
04/2009;117,100
05/2009;111,800
06/2009;109,100
07/2009;109,000
08/2009;106,800
09/2009;109,000
10/2009;106,000
11/2009;101,900
12/2009;99,500
01/2010;103,200
02/2010;104,200
03/2010;96,700
04/2010;96,900
05/2010;103,500
06/2010;101,200
07/2010;96,400
08/2010;98,100
09/2010;98,900
10/2010;97,700
11/2010;101,500
12/2010;94,800
01/2011;96,400
02/2011;96,800
03/2011;97,100
04/2011;97,100
05/2011;94,100
06/2011;96,700
07/2011;96,300
08/2011;111,600
09/2011;108,400
10/2011;105,200
11/2011;107,000
12/2011;105,700
01/2012;102,800
02/2012;96,900
03/2012;95,400
04/2012;97,800
05/2012;101,600
06/2012;106,300
07/2012;105,600
08/2012;98,800
09/2012;97,500
10/2012;96,300
11/2012;93,400
12/2012;94,800
01/2013;95,600
02/2013;91,500
03/2013;92,600
04/2013;91,500
05/2013;90,700
06/2013;94,600
07/2013;93,800
08/2013;88,700
09/2013;92,200
10/2013;90,700
11/2013;85,100
12/2013;85,100
01/2014;89,300
02/2014;93,900
03/2014;96,400
04/2014;94,300
05/2014;88,300
06/2014;93,300
07/2014;90,500
08/2014;96,000
09/2014;96,900
10/2014;97,300
11/2014;97,200
12/2014;95,000
01/2015;99,000
02/2015;97,400
03/2015;109,200
04/2015;103,600
05/2015;105,100
06/2015;105,700
07/2015;118,400
08/2015;126,600
09/2015;136,800
10/2015;121,000
11/2015;112,900
12/2015;117,000
01/2016;113,600
02/2016;115,500
03/2016;123,300
04/2016;128,300
05/2016;120,700
06/2016;119,700
07/2016;117,700
08/2016;112,000
09/2016;110,700
10/2016;114,000
11/2016;116,200
12/2016;123,200
01/2017;113,900
02/2017;108,300
03/2017;111,900
04/2017;109,200
05/2017;116,600
06/2017;124,000
07/2017;119,800
08/2017;112,100
09/2017;107,100
10/2017;103,800
11/2017;103,100
12/2017;106,100
01/2018;105,400
02/2018;104,300
03/2018;111,300
04/2018;116,400
05/2018;119,700
06/2018;127,700
07/2018;115,700
08/2018;114,200
09/2018;121,500
10/2018;110,300
11/2018;111,700
12/2018;113,000
01/2019;111,500
02/2019;111,300
03/2019;109,200
04/2019;117,300
05/2019;119,500
06/2019;119,100
07/2019;108,400
08/2019;114,200
09/2019;116,900
10/2019;111,100
11/2019;105,100
12/2019;112,400
01/2020;112,900
02/2020;115,100
03/2020;167,100
04/2020;210,500
05/2020;190,300
06/2020;173,600
07/2020;163,700
08/2020;160,300
09/2020;145,800
10/2020;143,800
11/2020;145,800
12/2020;142,300
01/2021;137,400
02/2021;128,200
03/2021;136,500
04/2021;129,400
05/2021;119,900
06/2021;122,300
07/2021;119,300
08/2021;119,600
09/2021;131,400
10/2021;127,100
11/2021;125,200
12/2021;118,700
01/2022;116,400
02/2022;117,100
03/2022;121,300
04/2022;114,900
05/2022;116,900
06/2022;120,600
07/2022;120,800
08/2022;116,600
09/2022;111,700
10/2022;112,000
11/2022;112,100
12/2022;112,700
01/2023;113,300
02/2023;111,700
03/2023;116,700
04/2023;112,600
05/2023;111,800
06/2023;107,600
07/2023;103,500
08/2023;108,500
09/2023;106,800
10/2023;110,900
11/2023;110,400
12/2023;107,000
01/2024;109,100
02/2024;104,500
03/2024;103,800
04/2024;106,500
05/2024;112,900
06/2024;110,600
07/2024;110,300
08/2024;107,800
09/2024;107,800
10/2024;104,800
11/2024;110,400
12/2024;115,400
01/2025;116,900
