Data;21942 - Produção Industrial (2012=100) - Geral - Com ajuste sazonal - Região Centro-Oeste - Índice;25382 - Índice de Atividade Econômica Regional - Região Centro-Oeste - IBCR-CO - com ajuste sazonal - Índice;28299 - Índice de emprego formal - Centro-Oeste - Índice
01/2002;61,2 ;-;-
02/2002;64,3 ;-;-
03/2002;63,4 ;-;-
04/2002;64,2 ;-;-
05/2002;64,5 ;-;-
06/2002;63,9 ;-;-
07/2002;66,5 ;-;-
08/2002;64,8 ;-;-
09/2002;64,0 ;-;-
10/2002;64,5 ;-;-
11/2002;67,5 ;-;-
12/2002;67,5 ;-;-
01/2003;61,2 ;101,93 ;-
02/2003;60,8 ;102,63 ;-
03/2003;61,8 ;103,21 ;-
04/2003;61,4 ;102,84 ;-
05/2003;58,1 ;101,83 ;-
06/2003;61,4 ;101,75 ;-
07/2003;54,7 ;101,32 ;-
08/2003;61,0 ;102,43 ;-
09/2003;60,2 ;102,59 ;-
10/2003;61,1 ;102,38 ;-
11/2003;59,4 ;102,34 ;-
12/2003;57,6 ;100,26 ;-
01/2004;64,0 ;103,02 ;94,64
02/2004;61,2 ;106,63 ;95,58
03/2004;60,7 ;108,30 ;96,71
04/2004;59,7 ;108,72 ;97,93
05/2004;65,8 ;105,59 ;99,27
06/2004;62,8 ;105,26 ;100,44
07/2004;62,4 ;108,79 ;101,39
08/2004;64,0 ;107,00 ;102,42
09/2004;68,0 ;106,93 ;103,05
10/2004;66,9 ;106,57 ;103,60
11/2004;67,5 ;107,02 ;103,44
12/2004;66,8 ;105,92 ;101,53
01/2005;67,0 ;108,54 ;102,32
02/2005;66,0 ;115,87 ;103,16
03/2005;68,0 ;119,77 ;104,11
04/2005;69,5 ;119,60 ;105,36
05/2005;67,1 ;110,45 ;106,03
06/2005;67,8 ;107,87 ;106,63
07/2005;68,7 ;109,86 ;107,09
08/2005;67,2 ;109,32 ;107,66
09/2005;66,0 ;109,41 ;108,08
10/2005;66,5 ;109,87 ;108,09
11/2005;66,1 ;110,57 ;107,51
12/2005;69,8 ;110,02 ;106,11
01/2006;66,0 ;114,02 ;107,06
02/2006;68,9 ;111,38 ;108,29
03/2006;67,2 ;110,64 ;109,03
04/2006;69,1 ;113,15 ;109,92
05/2006;70,2 ;115,78 ;110,00
06/2006;69,3 ;115,27 ;110,44
07/2006;68,8 ;117,91 ;111,26
08/2006;69,0 ;117,70 ;111,72
09/2006;67,8 ;117,73 ;112,29
10/2006;68,7 ;118,92 ;112,68
11/2006;69,7 ;120,07 ;112,15
12/2006;71,0 ;119,59 ;110,26
01/2007;74,0 ;122,71 ;111,75
02/2007;68,8 ;116,03 ;112,90
03/2007;69,6 ;114,49 ;113,82
04/2007;68,7 ;116,78 ;115,26
05/2007;68,8 ;123,46 ;116,00
06/2007;67,4 ;121,84 ;116,98
07/2007;67,7 ;122,39 ;117,44
08/2007;69,9 ;125,01 ;118,23
09/2007;71,2 ;126,79 ;119,03
10/2007;71,6 ;128,04 ;119,66
11/2007;72,6 ;130,26 ;119,29
12/2007;73,7 ;128,56 ;117,56
