Data;21931 - Produção industrial (2012=100) - Com ajuste sazonal - Região Norte - Índice;25407 - Índice de Atividade Econômica Regional - Região Norte - IBCR-N - com ajuste sazonal - Índice;28307 - Índice de emprego formal - Norte - Índice
01/2002;66,25 ;-;-
02/2002;69,36 ;-;-
03/2002;64,71 ;-;-
04/2002;66,45 ;-;-
05/2002;65,92 ;-;-
06/2002;66,30 ;-;-
07/2002;65,72 ;-;-
08/2002;63,35 ;-;-
09/2002;65,90 ;-;-
10/2002;66,12 ;-;-
11/2002;66,64 ;-;-
12/2002;70,53 ;-;-
01/2003;64,14 ;102,38 ;-
02/2003;63,84 ;101,42 ;-
03/2003;64,89 ;100,35 ;-
04/2003;62,24 ;99,62 ;-
05/2003;62,36 ;101,17 ;-
06/2003;64,45 ;103,36 ;-
07/2003;72,80 ;104,66 ;-
08/2003;67,70 ;102,43 ;-
09/2003;69,18 ;103,75 ;-
10/2003;69,53 ;103,50 ;-
11/2003;70,86 ;103,53 ;-
12/2003;69,88 ;104,53 ;-
01/2004;71,70 ;104,68 ;93,52
02/2004;69,62 ;103,87 ;94,43
03/2004;70,73 ;106,71 ;95,15
04/2004;72,21 ;109,91 ;96,33
05/2004;73,89 ;109,66 ;97,77
06/2004;73,36 ;108,72 ;99,25
07/2004;74,12 ;108,97 ;100,92
08/2004;75,25 ;109,94 ;102,57
09/2004;76,53 ;110,54 ;104,12
10/2004;77,04 ;110,92 ;105,28
11/2004;79,64 ;112,62 ;106,03
12/2004;80,65 ;113,39 ;104,63
01/2005;78,11 ;113,57 ;105,22
02/2005;79,90 ;115,00 ;105,72
03/2005;79,83 ;116,61 ;106,44
04/2005;84,77 ;119,10 ;107,86
05/2005;89,81 ;118,89 ;109,05
06/2005;91,87 ;119,24 ;110,35
07/2005;81,55 ;115,78 ;111,15
08/2005;77,18 ;116,32 ;112,69
09/2005;79,96 ;117,14 ;114,27
10/2005;85,23 ;119,87 ;115,21
11/2005;78,15 ;117,24 ;115,84
12/2005;79,69 ;117,19 ;114,33
01/2006;81,76 ;117,98 ;114,80
02/2006;90,07 ;120,52 ;115,82
03/2006;88,43 ;120,53 ;116,29
04/2006;84,76 ;120,13 ;117,46
05/2006;85,06 ;120,35 ;118,66
06/2006;84,12 ;119,53 ;119,59
07/2006;85,69 ;122,71 ;120,79
08/2006;82,33 ;122,93 ;122,49
09/2006;84,06 ;124,18 ;123,95
10/2006;82,59 ;124,05 ;124,92
11/2006;86,09 ;126,03 ;125,47
12/2006;84,35 ;125,72 ;123,65
01/2007;85,50 ;126,01 ;124,02
02/2007;85,33 ;124,99 ;124,87
03/2007;88,26 ;125,33 ;125,70
04/2007;89,33 ;127,35 ;127,23
05/2007;86,35 ;126,68 ;128,44
06/2007;87,23 ;126,75 ;129,62
07/2007;86,79 ;128,00 ;131,29
08/2007;90,71 ;130,69 ;132,85
09/2007;87,85 ;130,31 ;134,30
10/2007;89,21 ;131,09 ;135,63
11/2007;90,08 ;131,65 ;136,66
12/2007;92,83 ;132,59 ;135,05
01/2008;97,25 ;133,49 ;135,51
02/2008;94,01 ;132,71 ;136,12
03/2008;91,74 ;132,61 ;136,67
04/2008;89,83 ;131,74 ;137,86
05/2008;92,23 ;134,35 ;138,73
06/2008;92,86 ;135,08 ;140,69
07/2008;92,30 ;134,60 ;141,98
08/2008;93,38 ;135,59 ;143,77
09/2008;95,69 ;137,19 ;145,20
10/2008;95,66 ;135,54 ;145,53
11/2008;87,47 ;132,63 ;144,92
12/2008;83,88 ;131,69 ;141,26
01/2009;81,32 ;130,82 ;140,72
