Data;25405 - Índice de Atividade Econômica Regional - Santa Catarina - IBCR-SC - com ajuste sazonal - Índice;28313 - Índice de emprego formal - Santa Catarina - Índice
01/2003;101,84 ;-
02/2003;103,03 ;-
03/2003;103,25 ;-
04/2003;100,87 ;-
05/2003;100,08 ;-
06/2003;100,58 ;-
07/2003;97,08 ;-
08/2003;97,15 ;-
09/2003;99,46 ;-
10/2003;99,54 ;-
11/2003;100,25 ;-
12/2003;100,93 ;-
01/2004;102,58 ;96,16
02/2004;102,66 ;97,40
03/2004;104,23 ;97,70
04/2004;104,72 ;98,28
05/2004;104,59 ;98,56
06/2004;105,87 ;99,06
07/2004;106,83 ;99,73
08/2004;107,84 ;100,81
09/2004;108,04 ;101,97
10/2004;107,92 ;103,17
11/2004;107,87 ;104,12
12/2004;108,64 ;103,07
01/2005;107,82 ;104,70
02/2005;108,28 ;105,36
03/2005;108,59 ;105,65
04/2005;109,20 ;106,19
05/2005;108,57 ;106,37
06/2005;108,64 ;106,72
07/2005;107,74 ;106,92
08/2005;107,91 ;107,61
09/2005;106,57 ;108,33
10/2005;108,54 ;109,22
11/2005;109,39 ;110,20
12/2005;109,50 ;109,10
01/2006;110,07 ;110,14
02/2006;109,80 ;111,76
03/2006;110,00 ;111,44
04/2006;109,71 ;111,91
05/2006;111,04 ;111,93
06/2006;110,79 ;112,17
07/2006;112,53 ;112,45
08/2006;112,40 ;112,96
09/2006;112,80 ;113,66
10/2006;113,53 ;114,80
11/2006;114,14 ;115,99
12/2006;115,47 ;114,76
01/2007;115,92 ;116,10
02/2007;117,27 ;117,38
03/2007;116,17 ;117,83
04/2007;117,27 ;118,72
05/2007;118,65 ;118,78
06/2007;119,10 ;119,09
07/2007;118,68 ;119,46
08/2007;119,51 ;120,10
09/2007;120,16 ;121,14
10/2007;121,00 ;122,54
11/2007;121,23 ;123,69
12/2007;120,23 ;122,41
01/2008;119,06 ;123,94
02/2008;120,35 ;125,04
03/2008;120,66 ;125,59
04/2008;122,11 ;126,26
05/2008;122,45 ;126,65
06/2008;123,17 ;127,41
07/2008;123,98 ;128,08
08/2008;124,95 ;129,14
09/2008;126,02 ;130,22
10/2008;122,01 ;130,96
11/2008;119,98 ;131,28
12/2008;118,35 ;128,88
01/2009;120,45 ;129,58
02/2009;121,03 ;130,14
03/2009;120,79 ;130,14
04/2009;121,12 ;130,25
05/2009;122,25 ;130,16
06/2009;124,40 ;130,31
07/2009;123,63 ;130,78
08/2009;124,57 ;131,86
09/2009;125,91 ;133,00
10/2009;127,06 ;134,40
